"R0000100","R0070500","R0337800","R0545600","R0839900","R1087300","R1463000","R1809800","R2171500","R2376300","R2770900","R3012700","R3340100","R3604400","R3954600","R4582900","R5267100","R5912600","R6578200","R7192900","R7879600","T0121900"
1,38,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,35,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,18
3,35,-4,-5,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,18,70,-4,-5,-4
4,-4,-5,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,46,30,-5,-5,-5,-5
5,12,-4,-4,40,-4,-4,-5,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,-4,40,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-5,40,40,40,40
7,-4,-4,-4,25,40,-4,-4,-4,-4,-4,-4,25,25,20,60,48,48,44,44,40,40
8,25,38,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
9,7,-4,-4,44,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,60,50,55,-4,-4,-4
10,-4,-4,-4,40,-4,-4,-4,-5,-5,-4,-5,-4,-4,-4,40,-5,-5,-5,-5,-5,-5
11,8,-5,-4,40,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,45,40,50,45,50,40,-5
12,-4,-4,20,38,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,28,-5,-5,-5,-5,-5,-5
13,12,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,70,48,48,-4
14,10,9,40,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,40,50,45,45,45,45
15,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,35,40,-4,-4,-4,-4
16,38,35,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,18,18,19,25,25,40,40
17,48,-4,-4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,40,28,50,50,50,37
18,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,45,40,40,25,35,40
19,16,-4,-4,40,-5,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4
20,24,96,40,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,32,32,32,32
21,15,-4,-4,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,50,50,55,45,50,45
22,17,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,45,45,45,40,35
23,40,40,40,40,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5
24,-4,-4,-4,40,-4,-5,-4,-4,-4,-4,-4,-4,-5,-4,42,46,35,-5,-5,-5,-5
25,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,24,24,16,24,24,24,24
26,18,-4,-4,10,25,35,20,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
27,17,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,8,1,25,15,-4,-4,-4
28,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,39,38,40,-5,-5,-5
29,35,-4,35,41,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,44,43,40,5,40,40,40
30,40,-4,-4,35,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-5,50,47,40,40,40
32,15,-5,-4,40,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,45,45,-5,-5,-5,-4,-4
33,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-2,35,-5,-5,-5,-5,30
34,45,-4,10,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,70,45,55,-4,-4,-4
35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,50,-5,-5,-5,-5
36,10,40,-4,40,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,45,35,40,40,-4,-4,-4
37,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,35,5,35,35
38,-4,-4,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,37,40,40,40,40
39,48,-5,-4,46,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,60,40,60,50,55,50
40,35,15,20,52,-4,-4,-4,-4,-4,-4,-4,-4,21,21,40,50,40,40,40,50,45
41,-4,7,40,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,58,60,-5,55,55,50,55
42,-4,-4,34,20,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,45,45,50,45,45,45,45
43,10,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,20,23,20,-4,-4
44,-4,37,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,30,-4,-4,-4,-4,20
45,-4,-4,-4,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-5,-5,-5,-5,-5,-5
