"R0000100","R0047010","R0263710","R0446810","R0702510","R0945610","R1256010","R1650810","R1923410","R2318210","R2526010","R2925010","R3127800","R3523500","R3728500","R4416800","R5079800","R5165200","R6478000","R7005700","R7702900","R8495200","T0986800"
1,328,-5,361,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,385,457,514,571,571,514,771,769,879,934,1043,1098,1098,1263,1373,-4,-4,-4,-4,-4,987,916
3,365,397,-5,442,-4,-4,500,-4,64,160,600,636,82,153,581,-4,-4,700,989,-4,-5,-4
4,-4,-5,-4,340,-4,-4,-4,812,900,1025,1000,1428,-5,1528,1250,-5,1463,781,-5,-5,-5,-5
5,310,333,395,450,458,2125,-5,2622,-5,1818,2230,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,275,-4,335,335,692,769,865,951,1057,1122,1105,1298,1250,1586,1682,1697,-5,2091,2711,2607,4086
7,-4,300,300,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,852,1052,1037,1063,1306,1362,1374,1410
8,-4,-4,350,460,465,530,-4,450,510,700,740,777,775,820,831,907,972,1162,1320,1514,1586,1826
9,214,200,312,427,583,448,306,681,600,692,5000,1090,961,1000,961,545,1666,1923,1818,1748,2115,2500
10,-4,318,400,440,-4,615,400,-5,-5,625,-5,550,685,700,755,635,-5,-5,-5,-5,-5,-5
11,337,-5,833,750,685,1000,961,-5,-5,-5,673,3205,2884,2884,2307,3205,2884,1860,2777,2884,1150,-5
12,-4,291,-4,-4,856,1091,1144,-5,-5,-5,-5,-5,-5,-5,2564,2967,-5,-5,-5,-5,-5,-5
13,375,650,391,500,467,750,615,660,641,1291,1410,1398,1474,1230,1166,2000,2325,2000,1428,1562,2000,2331
14,237,-4,-4,-4,512,375,650,855,930,1150,1298,1298,1486,1565,1620,540,1437,1730,2264,2863,3504,4957
15,-4,100,-4,-4,400,325,335,360,650,532,-4,-4,960,1090,1346,1442,2197,2307,-4,-4,-4,-4
16,455,-4,625,562,687,800,887,896,1121,1538,1586,1978,1802,2087,2250,2400,2550,2731,2917,3100,2850,2861
17,420,585,600,541,700,769,675,750,692,1007,1200,1000,469,1250,700,1098,961,1201,1846,2961,2500,225
18,625,416,524,813,1153,1022,1282,1427,2583,-4,3846,-4,-4,-4,5048,6043,3333,4360,5769,11396,4729,6250
19,250,450,405,450,-5,-4,-4,565,673,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4
20,325,-4,-4,790,945,822,1081,1162,1346,1394,1586,1634,1800,1682,1826,2009,2115,2451,3125,3052,4447,3846
21,305,330,412,529,400,525,625,598,817,1076,897,1495,1223,1461,1576,1904,2076,3307,3496,3846,4370,8547
22,290,200,325,355,-4,345,712,550,450,721,721,745,805,846,930,972,1318,1495,1538,1402,2019,2307
