"R0000100","R0214700","R0214800","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900"
1,3,2,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,-5,1
4,3,2,0,-5,1,1,2,2,2,3,2,3,3,3,-5,3,3,-5,1,1,-5,-5,-5,-5,-5,-5,-5
5,3,1,0,0,0,0,0,0,-5,1,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,1,1,1,1,1,1,1
7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,-5
8,3,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1
9,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,3,2,0,0,0,0,1,1,1,-5,-5,1,-5,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,3,1,0,-5,0,0,0,0,0,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5
12,3,2,0,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,-5,-5,-5
14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3
15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
16,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3
17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3
18,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,3
19,3,2,1,3,3,2,-5,3,3,3,3,1,2,2,2,2,2,2,-5,2,-5,-5,-5,1,-5,1,-5
