"R0000100","R0172000"
1,370
2,372
3,990
4,-2
5,-4
6,-4
7,-4
8,280
9,590
10,75
11,194
12,1
13,245
14,-4
15,-4
16,990
17,990
18,-2
19,395
20,245
21,-4
22,-2
23,-4
24,-2
25,921
26,-3
27,93
28,915
29,301
30,301
31,142
32,184
33,472
34,492
35,371
36,415
37,-4
38,372
39,912
40,1
41,-4
42,473
43,-2
44,364
45,753
46,391
47,461
48,3
49,1
50,-2
51,461
52,990
53,706
54,715
55,990
56,-2
57,145
58,32
59,-2
60,495
61,740
62,372
63,3
64,80
65,915
66,-2
67,23
68,280
69,912
70,14
71,932
72,202
73,2
74,-2
75,280
76,911
77,914
78,75
79,-4
80,753
81,191
82,-2
83,153
84,430
85,473
86,944
87,692
88,471
89,222
90,245
91,310
92,-2
93,590
94,473
95,372
96,695
97,76
98,372
99,205
100,301
101,23
102,310
103,-2
104,326
105,990
106,1
107,990
108,31
109,1
110,3
111,-2
112,-2
113,475
114,990
115,85
116,25
117,590
118,-2
119,190
120,755
121,-4
122,590
123,151
124,75
125,715
126,394
127,692
128,395
129,-4
130,-3
131,-3
132,-3
133,914
134,430
135,431
136,926
137,2
138,372
139,473
140,142
141,-4
142,415
143,926
144,630
145,-2
146,912
147,301
148,-3
149,740
150,230
151,180
152,3
153,370
154,301
155,530
156,990
157,372
158,184
159,1
160,-3
161,372
162,-2
163,-2
164,395
165,3
166,173
167,395
168,231
169,372
170,-2
171,162
172,984
173,245
174,183
175,-2
176,144
177,605
178,245
179,-4
180,1
181,245
182,-4
183,395
184,-2
185,-2
186,52
187,-2
188,990
189,80
190,10
191,-2
192,-4
193,12
194,-4
195,153
196,916
197,301
198,762
199,280
200,372
201,202
202,185
203,280
204,944
205,990
206,695
207,-2
208,372
209,-2
210,-2
211,23
212,5
213,-4
214,762
215,430
216,280
217,661
218,1
219,142
220,-4
221,915
222,-4
223,-2
224,695
225,-2
226,-2
227,944
228,372
229,3
230,473
231,372
232,822
233,695
234,801
235,623
236,31
237,261
238,925
239,902
240,310
241,481
242,-4
243,990
244,372
245,81
246,185
247,1
248,751
249,372
250,990
251,231
252,310
253,912
254,694
255,372
256,-4
257,372
258,-4
259,461
260,12
261,485
262,395
263,473
264,-2
265,-4
266,185
267,415
268,1
269,1
270,161
271,372
272,-3
273,990
274,-3
275,231
276,-2
277,931
278,372
279,481
280,191
281,1
282,-4
283,990
284,430
285,-2
286,-4
287,602
288,942
289,395
290,925
291,180
292,145
293,80
294,-4
295,415
296,461
297,-4
298,280
299,695
300,180
301,163
302,473
303,-2
304,471
305,-3
306,230
307,645
308,153
309,-2
310,510
311,510
312,80
313,-2
314,372
315,680
316,-4
317,821
318,535
319,75
320,990
321,740
322,740
323,751
324,751
325,911
326,190
327,185
328,175
329,-2
330,453
331,441
332,694
333,-4
334,245
335,175
336,415
337,715
338,245
339,76
340,372
341,425
342,-2
343,391
344,-2
345,184
346,231
347,990
348,245
349,245
350,180
351,801
352,372
353,470
354,990
355,2
356,415
357,964
358,522
359,925
360,51
361,184
362,185
363,-2
364,86
365,280
366,990
367,184
368,144
369,740
370,193
371,100
372,175
373,372
374,372
375,461
376,100
377,910
378,185
379,-4
380,990
381,990
382,391
383,12
384,14
385,391
386,364
387,715
388,142
389,-4
390,-2
391,305
392,561
393,461
394,695
395,-4
396,231
397,305
398,-3
399,602
400,-4
401,-2
402,1
403,990
404,561
405,101
406,695
407,372
408,561
409,153
410,436
411,944
412,822
413,415
414,-4
415,755
416,990
417,964
418,-4
419,180
420,-2
