"R0000100","R0046300","R0214700","R0214800","R0263300","R0263400","R0446300","R0702000","R0828000","R0944900","R0945300","R1255300","R1255700","R1650100","R1650500","R1922700","R1923100","R2317500","R2317900","R2525300","R2525700","R2924300","R2924700","R3127000","R3127400","R3522700","R3523100","R3727700","R3728100","R4182000","R4193700","R4587901","R4587903","R5270500","R5270900","R6472100","R6473700","R6591300","R6592900","R7209100","R7209600","R7897500","R7898000","T0137900","T0138400","T1297500","T1298000","T2326000","T2326500","T3308200","T3308700"
1,717,3,2,-5,-5,717,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,339,3,2,339,305,339,339,337,339,337,339,23,339,386,339,23,339,23,339,337,339,389,339,23,339,337,339,23,339,337,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,8680,4720,8680,4720,8680,4720,8680,4720,8680,4720
3,707,3,2,707,321,-5,707,383,-4,-4,-4,-4,707,383,-4,-4,848,447,778,468,857,155,857,468,339,373,657,188,697,243,-4,-4,-4,-4,697,243,339,19,569,495,-5,-5,9090,430,9090,4650,-5,-5,8990,4320
4,-4,3,2,-5,-5,-4,609,274,-4,-4,-4,-4,-4,-4,849,313,849,313,849,313,849,313,849,313,-5,-5,718,313,849,313,-5,-5,849,313,849,178,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,858,3,1,858,330,858,917,355,858,223,849,223,-5,-5,849,178,-5,-5,849,178,849,178,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,3,1,858,753,-4,858,335,339,389,848,223,729,203,729,203,887,235,839,223,848,223,897,208,729,386,729,203,858,235,235,858,858,83,-5,-5,858,19,787,593,7870,5930,9990,430,7870,430,7870,360,7870,2710
7,-4,3,1,628,762,628,757,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,327,889,364,317,318,749,318,749,318,749,427,471,4270,4710,6690,8140,6690,8140,2190,8640,-5,-5
8,618,3,2,-4,-4,669,297,444,669,444,728,444,-3,-3,669,444,737,319,707,389,707,389,708,389,707,389,707,339,707,389,25,707,707,25,707,234,707,234,687,214,6870,2140,6870,5220,6870,5220,6870,5220,6870,830
9,809,3,1,757,780,757,648,885,757,505,507,505,647,505,647,337,647,19,647,19,697,243,648,19,757,503,757,19,757,19,503,757,757,19,757,505,757,505,877,12,8770,10,8770,10,8770,10,8770,10,8770,10
10,-4,3,2,669,914,838,839,446,769,405,839,444,669,444,-5,-5,-5,-5,839,447,-5,-5,669,276,839,97,839,446,839,446,447,838,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,858,3,1,-5,-5,669,888,389,707,389,189,19,189,376,-5,-5,-5,-5,-5,-5,189,259,189,274,189,259,739,256,339,257,257,339,698,277,248,259,698,19,559,43,5170,4760,-5,-5,-5,-5,-5,-5,-5,-5
12,-4,3,2,608,280,-4,707,23,707,23,707,23,707,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,709,7,7,709,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,728,3,1,728,902,779,728,453,728,453,779,558,728,19,728,19,728,19,728,19,728,448,728,19,728,448,478,19,728,448,448,728,728,448,728,19,728,19,769,422,7690,4220,7690,4220,-5,-5,-5,-5,-5,-5
14,677,3,2,-4,-4,-4,769,406,809,459,858,424,717,313,707,307,707,23,57,337,587,23,587,23,697,23,568,23,568,23,877,677,527,23,527,23,849,23,727,80,7270,800,9990,120,7580,800,6990,120,6990,800
15,-4,3,1,769,980,-4,-4,-4,809,486,937,588,678,365,678,365,67,366,917,19,-4,-4,-4,-4,567,259,567,274,567,259,259,567,567,259,567,263,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
16,707,3,2,-4,-4,387,259,313,387,313,329,223,329,313,337,178,849,313,849,313,849,313,849,313,849,313,849,313,849,313,313,849,849,313,849,313,849,313,727,570,7270,5700,7270,5700,7270,110,7270,5700,7270,5700
17,627,3,1,697,231,677,677,243,697,19,677,33,77,869,67,869,69,558,69,558,69,567,69,653,69,567,69,567,748,889,567,69,69,567,67,558,69,13,77,470,770,4700,9570,6660,-4,6660,9570,6660,9570,6660
18,669,3,1,539,374,668,197,243,587,274,697,274,697,274,697,274,539,274,539,274,748,274,248,274,748,525,739,274,697,274,259,539,698,274,697,13,697,19,417,485,4170,4850,4170,4850,4170,4850,4170,4850,4170,4760
19,669,3,2,848,371,858,747,313,-5,-5,-4,-4,-4,-4,697,313,889,313,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-4,-4,-5,-5
20,669,3,2,-4,-4,-4,888,217,888,217,197,217,208,217,208,217,227,185,208,44,227,57,177,44,729,217,738,217,897,217,217,897,897,217,77,57,77,217,729,146,7290,1460,7290,1460,7290,1460,-5,-5,7290,300
21,609,3,2,609,280,539,669,435,809,319,678,276,19,313,339,13,339,13,339,19,339,256,339,13,339,13,339,19,339,19,633,339,339,13,339,166,727,13,747,480,7470,4800,5590,40,5590,50,5590,50,7390,1810
22,628,3,2,669,914,669,669,276,669,404,669,438,239,225,737,274,888,313,887,37,887,197,887,313,887,313,887,313,887,379,19,887,887,389,897,277,897,19,917,496,9170,10,9990,4960,9170,420,9170,1060,9170,1060
23,189,3,1,-4,-4,-4,259,888,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,717,25,717,166,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
